IM62v4,IM767v2,category,stratum,Athal,defline
Migut.11G036400,MgIM767.11G036100,1:1,out,AT1G65790,(1 of 3) PF00954//PF01453//PF07714//PF08276//PF11883//PF12398 - S-locus glycoprotein domain (S_locus_glycop) // D-mannose binding lectin (B_lectin) // Protein tyrosine and serine/threonine kinase (PK_Tyr_Ser-Thr) // PAN-like domain (PAN_2) // Domain of unknown function (DUF3403) (DUF3403) // Receptor serine/threonine kinase (DUF3660)
Migut.11G036500,MgIM767.11G036200,1:1,out,AT4G19810,(1 of 9) 3.2.1.14//3.2.1.200 - chitinase. / poly-beta-glucosaminidase. // exo-chitinase (non-reducing end). / exo-chitinase (non-reducing end).
Migut.11G036600,MgIM767.11G036300,1:1,out,AT3G42640,"(1 of 1) PTHR42861:SF25 - ATPASE 8, PLASMA MEMBRANE-TYPE"
Migut.11G036700,MgIM767.11G036400,1:1,out,AT1G80710,(1 of 1) PTHR14773:SF0 - WD REPEAT-CONTAINING PROTEIN 76
Migut.11G036800,MgIM767.11G036500,1:1,out,AT2G22650,(1 of 1) PTHR13847:SF261 - FAD-DEPENDENT OXIDOREDUCTASE FAMILY PROTEIN
Migut.11G036900,MgIM767.11G036600,1:1,out,AT4G38500,(1 of 12) 3.5.1.23 - ceramidase. / acylsphingosine deacylase.
Migut.11G037000,MgIM767.11G036700,1:1,out,AT2G07690,"(1 of 1) K02209 - DNA replication licensing factor MCM5 (MCM5, CDC46)"
Migut.11G037100,MgIM767.11G036800,1:1,out,AT5G20320,(1 of 1) PTHR14950:SF15 - DICER-LIKE PROTEIN 4
Migut.11G037200,MgIM767.11G036900,1:1,out,AT5G51350,(1 of 2) PTHR48056:SF25 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN
Migut.11G037300,MgIM767.11G037000,1:1,out,AT5G35180,(1 of 1) PTHR12136:SF47 - STEROIDOGENIC ACUTE REGULATORY-LIKE PROTEIN 1
Migut.11G037400,MgIM767.11G037100,1:1,out,AT4G02050,(1 of 1) PTHR23500:SF109 - POLYOL TRANSPORTER 5
Migut.11G037500,MgIM767.11G037200,1:1,out,AT5G35170,(1 of 1) PTHR35509:SF6 - ADENYLATE KINASE
Migut.11G037600,MgIM767.11G037300,1:1,out,AT5G35160,(1 of 1) PTHR10766:SF184 - TRANSMEMBRANE 9 SUPERFAMILY MEMBER 11
Migut.11G037700,MgIM767.11G037400,1:1,out,AT2G46490,(1 of 1) PTHR35121:SF12 - SBP-TYPE DOMAIN-CONTAINING PROTEIN
x,MgIM767.11G037500,IM767+,out,AT5G35110,(1 of 1) PTHR35121:SF5 - GB|AAD20160.1
Migut.11G037800,MgIM767.11G037600,1:1,out,AT5G35110,(1 of 1) PTHR35121:SF5 - GB|AAD20160.1
Migut.11G037900,MgIM767.11G037700,1:1,out,AT2G46490,(1 of 1) PTHR35121:SF12 - SBP-TYPE DOMAIN-CONTAINING PROTEIN
Migut.11G038000,MgIM767.11G037800,1:1,out,AT5G35110,(1 of 1) PTHR35121:SF5 - GB|AAD20160.1
Migut.11G038100,MgIM767.11G037900,1:1,out,AT5G35110,(1 of 1) PTHR35121:SF5 - GB|AAD20160.1
Migut.11G038200,MgIM767.11G038000,1:1,out,AT5G07680,(1 of 1) PTHR31744:SF89 - NAC DOMAIN-CONTAINING PROTEIN 79
Migut.11G038300,MgIM767.11G038100,1:1,out,AT5G25220,(1 of 1) PTHR11850:SF323 - HOMEOBOX PROTEIN KNOTTED-1-LIKE 3
Migut.11G038400,MgIM767.11G038200,1:1,out,AT5G25240,(1 of 2) PTHR47076:SF1 - NHL DOMAIN PROTEIN
Migut.11G038500,MgIM767.11G038300,1:1,out,AT3G46920,(1 of 1) PTHR23257:SF797 - KINASE SUPERFAMILY WITH OCTICOSAPEPTIDE_PHOX_BEM1P DOMAIN-CONTAINING PROTEIN
Migut.11G038600,MgIM767.11G038400,1:1,out,AT5G35090,(1 of 1) PTHR33168:SF31 - VARLMGL DOMAIN-CONTAINING PROTEIN
Migut.11G038700,MgIM767.11G038500,1:1,out,AT2G15580,(1 of 1) PTHR22765:SF303 - RING ZINC FINGER PROTEIN_ 84572-85321-RELATED
Migut.11G038800,MgIM767.11G038600,1:1,out,AT1G48960,(1 of 1) PTHR47848:SF1 - ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE SUPERFAMILY PROTEIN
Migut.11G038900,MgIM767.11G038700,1:1,out,AT2G15580,(1 of 1) PTHR22765:SF303 - RING ZINC FINGER PROTEIN_ 84572-85321-RELATED
Migut.11G039000,MgIM767.11G038800,1:1,out,,
Migut.11G039100,MgIM767.11G038900,1:1,out,AT5G45290,(1 of 1) PTHR47531:SF2 - RING_U-BOX SUPERFAMILY PROTEIN
Migut.11G039200,MgIM767.11G039000,1:1,out,,
Migut.11G039300,x,IM62+,out,AT1G51880,(1 of 1) PTHR45631:SF33 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN
Migut.11G039400,MgIM767.11G039100,1:1,out,AT5G55440,(1 of 17) PTHR44259:SF89 - DUF295 DOMAIN-CONTAINING PROTEIN-RELATED
Migut.11G039500,MgIM767.11G039200,1:1,out,AT5G49760,(1 of 3) PTHR45974:SF266 - LEUCINE-RICH REPEAT RECEPTOR PROTEIN KINASE HPCA1
Migut.11G039600,MgIM767.11G039300,1:1,out,AT2G41040,(1 of 1) PTHR43591:SF99 - OS06G0646000 PROTEIN
Migut.11G039700,MgIM767.11G039400,1:1,out,AT1G19250,(1 of 1) PTHR23023:SF143 - FLAVIN-CONTAINING MONOOXYGENASE 1-RELATED
Migut.11G039800,MgIM767.11G039500,1:1,out,AT1G19250,(1 of 1) PTHR23023:SF143 - FLAVIN-CONTAINING MONOOXYGENASE 1-RELATED
Migut.11G039900,MgIM767.11G039600,1:1,out,AT2G12646,(1 of 1) PTHR31065:SF11 - PLATZ TRANSCRIPTION FACTOR FAMILY PROTEIN
Migut.11G040000,MgIM767.11G039700,1:1,out,AT5G11090,(1 of 1) PTHR33132:SF140 - PLANT_F18G18-20 PROTEIN
Migut.11G040100,MgIM767.11G039800,1:1,out,AT5G54062,(1 of 6) PTHR31181:SF67 - EGG CELL-SECRETED-LIKE PROTEIN (DUF1278)-RELATED
Migut.11G040200,MgIM767.11G039900,1:1,out,AT5G59180,"(1 of 1) K03015 - DNA-directed RNA polymerase II subunit RPB7 (RPB7, POLR2G)"
Migut.11G040300,MgIM767.11G040000,1:1,out,AT2G25290,(1 of 1) PTHR46183:SF18 - PROTEIN PHOX1
Migut.11G040400,MgIM767.11G040100,1:1,out,AT5G51940,"(1 of 1) PTHR47227:SF5 - DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC2"
Migut.11G040500,MgIM767.11G040200,1:1,out,AT5G34940,(1 of 1) K07964 - heparanase 1 (HPSE)
Migut.11G040600,MgIM767.11G040300,1:1,out,AT5G20380,"(1 of 1) PTHR11662:SF243 - ANION TRANSPORTER 6, CHLOROPLASTIC-RELATED"
Migut.11G040700,MgIM767.11G040400,1:1,out,AT5G20400,(1 of 5) 1.14.11.32 - codeine 3-O-demethylase. / codeine O-demethylase.
Migut.11G040800,MgIM767.11G040500,1:1,out,AT1G15710,"(1 of 1) PTHR43207:SF4 - AROGENATE DEHYDROGENASE 2, CHLOROPLASTIC"
Migut.11G040900,MgIM767.11G040600,1:1,out,AT1G15690,(1 of 1) PTHR31998:SF52 - PYROPHOSPHATE-ENERGIZED VACUOLAR MEMBRANE PROTON PUMP 1
Migut.11G041000,MgIM767.11G040700,1:1,out,AT4G39140,(1 of 1) PTHR31150:SF29 - RING FINGER FAMILY PROTEIN
Migut.11G041100,MgIM767.11G040800,1:1,out,AT5G46795,(1 of 1) PTHR34190:SF3 - MICROSPORE-SPECIFIC PROMOTER 2
Migut.11G041200,MgIM767.11G040900,1:1,out,AT5G20410,"(1 of 1) PTHR43025:SF1 - MONOGALACTOSYLDIACYLGLYCEROL SYNTHASE 2, CHLOROPLASTIC"
Migut.11G041300,MgIM767.11G041000,1:1,out,AT1G60430,"(1 of 1) K05756 - actin related protein 2/3 complex, subunit 3 (ARPC3)"
Migut.11G041400,MgIM767.11G041100,1:1,out,AT5G10790,"(1 of 1) K11366 - ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.4.19.12] (USP22_27_51, UBP8)"
Migut.11G041500,MgIM767.11G041200,1:1,out,AT5G20300,"(1 of 1) PTHR10903:SF68 - TRANSLOCASE OF CHLOROPLAST 90, CHLOROPLASTIC"
Migut.11G041600,MgIM767.11G041300,1:1,out,,(1 of 16) IPR011989//IPR016024 - Armadillo-like helical // Armadillo-type fold
Migut.11G041700,MgIM767.11G041400,1:1,out,AT1G75125,(1 of 1) PTHR15852:SF29 - SUPPRESSOR OF STOMATIN MUTANT UNCOORDINATION
Migut.11G041800,MgIM767.11G041500,1:1,out,AT5G34850,(1 of 2) 1.11.1.7//3.1.3.2 - peroxidase. / lactoperoxidase. // acid phosphatase. / phosphomonoesterase.
Migut.11G041900,MgIM767.11G041600,1:1,out,AT1G05500,(1 of 1) PTHR10774:SF149 - SYNAPTOTAGMIN-5
Migut.11G042000,MgIM767.11G041700,1:1,out,AT5G33280,(1 of 1) PTHR11689:SF92 - H(+)/CL(-) EXCHANGE TRANSPORTER 7
Migut.11G042100,MgIM767.11G041800,1:1,out,AT2G11520,(1 of 4) PTHR47989:SF35 - LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE RKF3-RELATED
Migut.11G042200,MgIM767.11G041900,1:1,out,AT5G20270,(1 of 1) PTHR20855:SF115 - HEPTAHELICAL TRANSMEMBRANE PROTEIN 1
Migut.11G042300,MgIM767.11G042000,1:1,out,AT2G11000,(1 of 2) 2.3.1.256 - N-terminal methionine N(alpha)-acetyltransferase NatC. / N-terminal methionine N(alpha)-acetyltransferase NatC.
Migut.11G042400,MgIM767.11G042100,1:1,out,AT5G35200,(1 of 1) PTHR22951:SF32 - OS06G0175500 PROTEIN
Migut.11G042500,MgIM767.11G042200,1:1,out,AT2G10940,(1 of 24) IPR016140//IPR027923//IPR036312 - Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain // Hydrophobic seed protein // Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily
Migut.11G042600,MgIM767.11G042300,1:1,out,AT4G31080,(1 of 1) PTHR22166:SF35 - INTEGRAL MEMBRANE METAL-BINDING FAMILY PROTEIN (DUF2296)
Migut.11G042700,MgIM767.11G042400,1:1,out,AT5G35430,(1 of 1) K12607 - CCR4-NOT transcription complex subunit 10 (CNOT10)
Migut.11G042800,MgIM767.11G042500,1:1,out,,(1 of 1) K11138 - telomere-associated protein RIF1 (RIF1)
Migut.11G042900,MgIM767.11G042600,1:1,out,AT5G20250,(1 of 1) PTHR31268:SF5 - GALACTINOL--SUCROSE GALACTOSYLTRANSFERASE 6-RELATED
Migut.11G043000,MgIM767.11G042700,1:1,out,AT3G53270,(1 of 1) K15208 - snRNA-activating protein complex subunit 1 (SNAPC1)
Migut.11G043100,MgIM767.11G042800,1:1,out,AT3G42170,"(1 of 1) PF05699//PF14372 - hAT family C-terminal dimerisation region (Dimer_Tnp_hAT) // hAT-like transposase, RNase-H fold (hAT-like_RNase-H)"
Migut.11G043200,MgIM767.11G042900,1:1,out,AT3G07490,(1 of 1) PTHR10891:SF802 - CALMODULIN-LIKE PROTEIN 3
Migut.11G043300,MgIM767.11G043000,1:1,out,AT5G32440,(1 of 1) PTHR31245:SF1 - UBIQUITIN SYSTEM COMPONENT CUE PROTEIN
Migut.11G043400,MgIM767.11G043100,1:1,out,AT3G01300,(1 of 1) PTHR45621:SF77 - SERINE_THREONINE-PROTEIN KINASE PBL35
x,MgIM767.11G043200,IM767+,out,AT5G52600,(1 of 1) PTHR47999:SF21 - TRANSCRIPTION FACTOR MYB114-LIKE
Migut.11G043500,MgIM767.11G043300,1:1,out,AT4G32280,(1 of 28) K14484 - auxin-responsive protein IAA (IAA)
Migut.11G043600,x,IM62+,out,,
Migut.11G043700,MgIM767.11G043400,1:1,out,AT2G13290,"(1 of 1) PTHR12224:SF0 - BETA-1,4-MANNOSYL-GLYCOPROTEIN 4-BETA-N-ACETYLGLUCOSAMINYLTRANSFERASE"
Migut.11G043800,MgIM767.11G043500,1:1,out,AT4G32285,"(1 of 10) KOG0251 - Clathrin assembly protein AP180 and related proteins, contain ENTH domain"
Migut.11G043900,MgIM767.11G043600,1:1,out,AT3G33530,(1 of 1) PTHR14593:SF5 - WD REPEAT-CONTAINING PROTEIN 11
Migut.11G044000,MgIM767.11G043700,1:1,out,AT5G20230,(1 of 1) PTHR33021:SF580 - BLUE COPPER PROTEIN
Migut.11G044100,MgIM767.11G043800,1:1,out,AT2G26600,(1 of 1) PTHR32227:SF129 - GLYCOSYL HYDROLASE SUPERFAMILY PROTEIN
Migut.11G044200,MgIM767.11G043900,1:1,out,AT4G02530,"(1 of 1) PTHR35742:SF1 - THYLAKOID LUMENAL 16.5 KDA PROTEIN, CHLOROPLASTIC"
Migut.11G044300,MgIM767.11G044000,1:1,out,AT2G26580,(1 of 1) PTHR31675:SF6 - AXIAL REGULATOR YABBY 5
Migut.11G044400,MgIM767.11G044100,1:1,out,AT5G20200,(1 of 1) PTHR33416:SF18 - NUCLEOPORIN-LIKE PROTEIN
Migut.11G044500,MgIM767.11G044200,1:1,out,AT1G80130,(1 of 1) PTHR26312:SF180 - F18B13.21 PROTEIN
Migut.11G044600,MgIM767.11G044300,1:1,out,AT5G35410,(1 of 1) PTHR43895:SF168 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN
Migut.11G044700,MgIM767.11G044400,1:1,out,AT2G25490,(1 of 1) PTHR13318:SF88 - EIN3-BINDING F-BOX PROTEIN 1
x,MgIM767.11G044500,IM767+,out,AT4G12070,(1 of 26) IPR001478 - PDZ domain
Migut.11G044800,MgIM767.11G044600,1:1,out,AT5G25360,(1 of 6) PF13259 - Protein of unknown function (DUF4050) (DUF4050)
Migut.11G044900,MgIM767.11G044700,1:1,out,AT3G15760,(1 of 1) PTHR33564:SF13 - (RAPE) HYPOTHETICAL PROTEIN
Migut.11G045000,x,IM62+,out,AT3G15730,(1 of 1) PTHR18896:SF205 - PHOSPHOLIPASE D ALPHA 1
Migut.11G045100,MgIM767.11G044800,1:1,out,AT3G15730,(1 of 1) PTHR18896:SF205 - PHOSPHOLIPASE D ALPHA 1
Migut.11G045200,MgIM767.11G044900,1:1,out,AT5G19650,(1 of 1) PTHR33057:SF17 - GB|AAD12216.1-RELATED
Migut.11G045300,MgIM767.11G045000,1:1,out,AT3G18830,(1 of 1) PTHR23500:SF424 - POLYOL TRANSPORTER 5
Migut.11G045400,MgIM767.11G045100,1:1,out,AT5G19540,
Migut.11G045500,MgIM767.11G045200,1:1,out,AT5G24105,(1 of 1) PTHR33374:SF38 - ARABINOGALACTAN PROTEIN 41
Migut.11G045600,MgIM767.11G045300,1:1,out,AT3G24503,(1 of 1) K12355 - coniferyl-aldehyde dehydrogenase (REF1)
Migut.11G045700,MgIM767.11G045400,1:1,out,AT3G24495,(1 of 1) PTHR11361:SF153 - DNA MISMATCH REPAIR PROTEIN MSH7
Migut.11G045800,MgIM767.11G045500,1:1,out,AT3G24490,(1 of 1) PTHR31307:SF8 - ALCOHOL DEHYDROGENASE TRANSCRIPTION FACTOR MYB/SANT-LIKE PROTEIN
Migut.11G045900,MgIM767.11G045600,1:1,out,AT3G24430,"(1 of 1) PF01656//PF01883//PF06155 - CobQ/CobB/MinD/ParA nucleotide binding domain (CbiA) // Iron-sulfur cluster assembly protein (FeS_assembly_P) // Gamma-butyrobetaine hydroxylase-like, N-terminal (GBBH-like_N)"
Migut.11G046000,MgIM767.11G045700,1:1,out,AT5G19600,(1 of 1) PTHR11814:SF54 - SULFATE TRANSPORTER 3.5-RELATED
Migut.11G046100,MgIM767.11G045800,1:1,out,AT4G13350,(1 of 1) PTHR46085:SF3 - ARF-GAP DOMAIN-CONTAINING PROTEIN
Migut.11G046200,MgIM767.11G045900,1:1,out,AT2G26695,"(1 of 9) IPR001876//IPR036443 - Zinc finger, RanBP2-type // Zinc finger, RanBP2-type superfamily"
Migut.11G046300,MgIM767.11G046000,1:1,out,AT3G24330,"(1 of 1) PTHR32227:SF319 - GLUCAN ENDO-1,3-BETA-D-GLUCOSIDASE"
Migut.11G046400,MgIM767.11G046100,1:1,out,AT4G13360,"(1 of 1) PTHR43176:SF16 - 3-HYDROXYISOBUTYRYL-COA HYDROLASE-LIKE PROTEIN 3, MITOCHONDRIAL"
Migut.11G046500,MgIM767.11G046200,1:1,out,AT2G26730,(1 of 5) PTHR48010:SF55 - OS01G0607900 PROTEIN
Migut.11G046600,MgIM767.11G046300,1:1,out,AT3G25910,(1 of 10) PF07800 - Protein of unknown function (DUF1644) (DUF1644)
Migut.11G046700,x,IM62+,out,,
Migut.11G046800,MgIM767.11G046400,1:1,out,AT2G26910,(1 of 1) PTHR48040:SF12 - ABC TRANSPORTER DOMAIN-CONTAINING PROTEIN
Migut.11G046900,MgIM767.11G046500,1:1,out,AT1G08510,(1 of 1) K10781 - fatty acyl-ACP thioesterase B (FATB)
Migut.11G047000,MgIM767.11G046600,1:1,out,AT1G04870,(1 of 1) PTHR11006:SF68 - PROTEIN ARGININE N-METHYLTRANSFERASE PRMT10
Migut.11G047100,MgIM767.11G046700,1:1,out,AT3G24480,(1 of 2) PTHR32093:SF120 - LEUCINE-RICH REPEAT EXTENSIN-LIKE PROTEIN 3-RELATED
Migut.11G047200,MgIM767.11G046800,1:1,out,AT2G26695,"(1 of 9) IPR001876//IPR036443 - Zinc finger, RanBP2-type // Zinc finger, RanBP2-type superfamily"
Migut.11G047300,MgIM767.11G046900,1:1,out,AT5G19460,(1 of 4) 2.7.6.2 - thiamine diphosphokinase. / thiamine pyrophosphokinase.
Migut.11G047400,MgIM767.11G047000,1:1,out,AT5G20110,(1 of 6) 3.6.4.2 - dynein ATPase. / dynein adenosine 5'-triphosphatase.
Migut.11G047500,MgIM767.11G047100,1:1,out,AT5G25400,(1 of 1) PTHR11132:SF161 - DMT FAMILY ORGANIC ANION TRANSPORTER (EUROFUNG)
Migut.11G047600,MgIM767.11G047200,1:1,out,AT1G29250,(1 of 2) PTHR31947:SF43 - ALBA DNA_RNA-BINDING PROTEIN
Migut.11G047700,MgIM767.11G047300,1:1,out,AT1G80170,(1 of 1) PTHR31375:SF108 - OS05G0542800 PROTEIN
Migut.11G047800,MgIM767.11G047400,1:1,out,AT3G47650,"(1 of 1) PTHR15852:SF51 - PROTEIN BUNDLE SHEATH DEFECTIVE 2, CHLOROPLASTIC"
Migut.11G047900,MgIM767.11G047500,1:1,out,AT3G47650,"(1 of 1) PTHR15852:SF51 - PROTEIN BUNDLE SHEATH DEFECTIVE 2, CHLOROPLASTIC"
Migut.11G048000,MgIM767.11G047600,1:1,out,AT2G41475,(1 of 1) PTHR31718:SF46 - EMBRYO-SPECIFIC PROTEIN ATS3A
Migut.11G048100,MgIM767.11G047700,1:1,out,AT2G34790,(1 of 1) PTHR32448:SF73 - BERBERINE BRIDGE ENZYME-LIKE 15
Migut.11G048200,MgIM767.11G047800,1:1,out,AT2G26670,"(1 of 3) K00510 - heme oxygenase (HMOX, hmuO, ho)"
Migut.11G048300,MgIM767.11G047900,1:1,out,AT2G41480,(1 of 1) PTHR31235:SF368 - PEROXIDASE 25
Migut.11G048400,MgIM767.11G048000,1:1,out,AT5G19960,"(1 of 1) PTHR48024:SF21 - RNA-BINDING PROTEIN, PUTATIVE-RELATED"
Migut.11G048500,MgIM767.11G048100,1:1,out,AT2G26660,(1 of 1) PTHR45978:SF5 - SPX DOMAIN-CONTAINING PROTEIN 2
Migut.11G048600,MgIM767.11G048200,1:1,out,AT3G24550,(1 of 1) PTHR47982:SF35 - PROLINE-RICH RECEPTOR-LIKE PROTEIN KINASE PERK1
Migut.11G048700,MgIM767.11G048300,1:1,out,AT5G02850,(1 of 1) PTHR13208:SF2 - MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 4
Migut.11G048800,MgIM767.11G048400,1:1,out,AT1G52280,(1 of 2) PTHR47981:SF20 - RAB FAMILY
Migut.11G048900,MgIM767.11G048500,1:1,out,AT3G24600,"(1 of 2) PTHR48348:SF1 - 2, PUTATIVE-RELATED"
Migut.11G049000,MgIM767.11G048600,1:1,out,AT3G24620,(1 of 2) PTHR33101:SF55 - RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 8-RELATED
Migut.11G049100,MgIM767.11G048700,1:1,out,AT5G11520,"(1 of 1) PTHR11879:SF57 - ASPARTATE AMINOTRANSFERASE 3, CHLOROPLASTIC"
Migut.11G049200,MgIM767.11G048800,1:1,out,AT5G42030,(1 of 1) PTHR10460:SF32 - PROTEIN ABIL4
x,MgIM767.11G048900,IM767+,out,AT4G23730,(1 of 1) PTHR11122:SF31 - GLUCOSE-6-PHOSPHATE 1-EPIMERASE
x,MgIM767.11G049000,IM767+,out,AT3G61610,(1 of 1) PTHR11122:SF31 - GLUCOSE-6-PHOSPHATE 1-EPIMERASE
Migut.11G049300,MgIM767.11G049100,1:1,out,AT4G29010,(1 of 2) 1.1.1.35//4.2.1.17//5.1.2.3//5.3.3.8 - 3-hydroxyacyl-CoA dehydrogenase. / beta-keto-reductase. // enoyl-CoA hydratase. / unsaturated acyl-CoA hydratase. // 3-hydroxybutyryl-CoA epimerase. / 3-hydroxybutyryl-CoA epimerase. // Delta(3)-Delta(2)-enoyl-CoA isomerase. / dodecenoyl-CoA isomerase.
Migut.11G049400,MgIM767.11G049200,1:1,out,AT4G29000,(1 of 2) PTHR12446:SF34 - PROTEIN LIN-54 HOMOLOG-RELATED
Migut.11G049500,MgIM767.11G049300,1:1,out,AT4G28990,(1 of 1) PTHR23238:SF26 - RNA-BINDING PROTEIN CABEZA
Migut.11G049600,x,IM62+,out,,
Migut.11G049700,MgIM767.11G049400,1:1,out,AT3G61610,(1 of 1) PTHR11122:SF31 - GLUCOSE-6-PHOSPHATE 1-EPIMERASE
Migut.11G049800,MgIM767.11G049500,1:1,out,,
Migut.11G049900,MgIM767.11G049600,1:1,out,AT4G28950,(1 of 1) PTHR24072:SF127 - RAC-LIKE GTP-BINDING PROTEIN ARAC7
Migut.11G050000,MgIM767.11G049700,1:1,out,AT1G65980,(1 of 1) PF00578//PF08534 - AhpC/TSA family (AhpC-TSA) // Redoxin (Redoxin)
Migut.11G050100,MgIM767.11G049800,1:1,out,AT3G06880,(1 of 2) 2.7.11.7 - [myosin heavy-chain] kinase. / myosin II heavy-chain kinase.
Migut.11G050200,MgIM767.11G049900,1:1,out,AT1G30910,(1 of 2) PTHR14237:SF19 - MOLYBDENUM COFACTOR SULFURASE
Migut.11G050300,MgIM767.11G050000,1:1,out,AT4G29100,(1 of 1) PTHR16223:SF53 - TRANSCRIPTION FACTOR BHLH133-RELATED
Migut.11G050400,x,IM62+,out,AT1G76500,(1 of 1) PTHR31100:SF51 - AT-HOOK MOTIF NUCLEAR-LOCALIZED PROTEIN 29
Migut.11G050500,MgIM767.11G050100,1:1,out,AT4G28830,(1 of 1) K07579 - putative methylase (K07579)
Migut.11G050600,MgIM767.11G050200,1:1,out,AT4G29060,"(1 of 1) K02357 - elongation factor Ts (tsf, TSFM)"
Migut.11G050700,MgIM767.11G050300,1:1,out,AT4G28840,(1 of 1) PTHR33388:SF12 - PROTEIN SPEAR3
Migut.11G050800,MgIM767.11G050400,1:1,out,AT1G67290,(1 of 1) PTHR32208:SF106 - ALDEHYDE OXIDASE GLOX1
Migut.11G050900,MgIM767.11G050500,1:1,out,AT4G28850,(1 of 1) PTHR31062:SF155 - XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE PROTEIN 26-RELATED
Migut.11G051000,MgIM767.11G050600,1:1,out,AT1G70830,(1 of 3) PTHR31907:SF24 - MLP-LIKE PROTEIN 28-RELATED
Migut.11G051100,MgIM767.11G050700,1:1,out,AT1G70850,(1 of 3) PTHR31907:SF24 - MLP-LIKE PROTEIN 28-RELATED
Migut.11G051200,MgIM767.11G050800,1:1,out,AT1G70850,(1 of 3) PTHR31907:SF24 - MLP-LIKE PROTEIN 28-RELATED
Migut.11G051300,MgIM767.11G050900,1:1,out,AT1G70830,(1 of 3) PTHR31907:SF24 - MLP-LIKE PROTEIN 28-RELATED
Migut.11G051400,MgIM767.11G051000,1:1,out,AT1G70830,(1 of 3) PTHR31907:SF24 - MLP-LIKE PROTEIN 28-RELATED
Migut.11G051500,MgIM767.11G051100,1:1,out,AT1G67280,(1 of 1) PTHR46036:SF5 - LACTOYLGLUTATHIONE LYASE
Migut.11G051600,MgIM767.11G051200,1:1,out,AT4G28910,(1 of 1) PTHR31413:SF12 - AFP HOMOLOG 2
Migut.11G051700,MgIM767.11G051300,1:1,out,AT4G28890,(1 of 2) PTHR46539:SF1 - E3 UBIQUITIN-PROTEIN LIGASE ATL42
x,MgIM767.11G051401,IM767+,out,AT5G44320,(1 of 2) K03251 - translation initiation factor 3 subunit D (EIF3D)
Migut.11G051800,MgIM767.11G051500,1:1,out,AT2G20050,(1 of 1) 2.7.11.12//3.1.3.16 - cGMP-dependent protein kinase. / PKG II. // protein-serine/threonine phosphatase. / serine/threonine specific protein phosphatase.
Migut.11G051900,MgIM767.11G051600,1:1,out,AT5G37000,(1 of 1) PTHR11062:SF77 - EXOSTOSIN FAMILY PROTEIN
Migut.11G052000,MgIM767.11G051700,1:1,out,AT2G20020,"(1 of 1) PTHR46247:SF1 - CRS2-ASSOCIATED FACTOR 1, CHLOROPLASTIC"
Migut.11G052100,MgIM767.11G051800,1:1,out,AT1G77210,(1 of 1) PTHR23500:SF14 - SUGAR TRANSPORT PROTEIN 14
Migut.11G052200,MgIM767.11G051900,1:1,out,AT2G44970,(1 of 1) PTHR31934:SF6 - ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN
Migut.11G052300,MgIM767.11G052000,1:1,out,AT5G11590,(1 of 1) PTHR31985:SF259 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 3
Migut.11G052400,MgIM767.11G052100,1:1,out,AT5G55300,(1 of 2) K03163 - DNA topoisomerase I [EC:5.99.1.2] (TOP1)
Migut.11G052500,MgIM767.11G052200,1:1,out,AT2G25800,"(1 of 6) IPR014770//IPR014772 - Munc13 homology 1 // Mammalian uncoordinated homology 13, domain 2"
Migut.11G052600,MgIM767.11G052300,1:1,out,AT5G42180,(1 of 1) PTHR31235:SF181 - PEROXIDASE 64
Migut.11G052700,MgIM767.11G052400,1:1,out,AT5G19690,(1 of 1) PTHR13872:SF48 - DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT STT3A
Migut.11G052800,MgIM767.11G052500,1:1,out,AT1G77170,(1 of 32) PTHR47928:SF190 - OS04G0110500 PROTEIN
Migut.11G052900,MgIM767.11G052600,1:1,out,AT1G52140,(1 of 1) PTHR33265:SF59 - AVR9_CF-9 RAPIDLY ELICITED PROTEIN
Migut.11G053000,MgIM767.11G052700,1:1,out,AT2G19950,(1 of 1) PTHR13815:SF7 - GOLGIN SUBFAMILY A MEMBER 5
Migut.11G053100/Migut.11G053200,MgIM767.11G052800,1:1,out,AT2G19930,(1 of 2) PTHR23079:SF55 - RNA-DIRECTED RNA POLYMERASE
Migut.11G053300,MgIM767.11G052900,1:1,out,AT5G11670,(1 of 1) PTHR23406:SF70 - NADP-DEPENDENT MALIC ENZYME 2
Migut.11G053400,MgIM767.11G053000,1:1,out,AT1G35190,(1 of 1) PTHR10209:SF868 - 2-OXOGLUTARATE (2OG) AND FE(II)-DEPENDENT OXYGENASE SUPERFAMILY PROTEIN
